order_id,customer_id,order_date
O1,C5,2024-01-01
O2,C5,2024-01-02
O3,C1,2024-01-03
O4,C5,2024-01-04
O5,C1,2024-01-05
O6,C2,2024-01-06
O7,C4,2024-01-07
O8,C2,2024-01-08
O9,C2,2024-01-09
O10,C3,2024-01-10
O11,C3,2024-01-11
O12,C3,2024-01-12
O13,C2,2024-01-13
O14,C1,2024-01-14
O15,C4,2024-01-15
O16,C4,2024-01-16
O17,C4,2024-01-17
O18,C3,2024-01-18
O19,C2,2024-01-19
O20,C5,2024-01-20
O21,C2,2024-01-21
O22,C5,2024-01-22
O23,C1,2024-01-23
O24,C3,2024-01-24
O25,C5,2024-01-25
O26,C2,2024-01-26
O27,C4,2024-01-27
O28,C2,2024-01-28
O29,C3,2024-01-29
O30,C1,2024-01-30
O31,C3,2024-01-31
O32,C5,2024-02-01
O33,C1,2024-02-02
O34,C5,2024-02-03
O35,C1,2024-02-04
O36,C5,2024-02-05
O37,C1,2024-02-06
O38,C2,2024-02-07
O39,C3,2024-02-08
O40,C2,2024-02-09
O41,C3,2024-02-10
O42,C3,2024-02-11
O43,C3,2024-02-12
O44,C3,2024-02-13
O45,C2,2024-02-14
O46,C2,2024-02-15
O47,C2,2024-02-16
O48,C2,2024-02-17
O49,C1,2024-02-18
O50,C2,2024-02-19
O51,C5,2024-02-20
O52,C3,2024-02-21
O53,C3,2024-02-22
O54,C5,2024-02-23
O55,C4,2024-02-24
O56,C2,2024-02-25
O57,C2,2024-02-26
O58,C5,2024-02-27
O59,C1,2024-02-28
O60,C1,2024-02-29
O61,C4,2024-03-01
O62,C2,2024-03-02
O63,C5,2024-03-03
O64,C5,2024-03-04
O65,C5,2024-03-05
O66,C2,2024-03-06
O67,C1,2024-03-07
O68,C4,2024-03-08
O69,C1,2024-03-09
O70,C1,2024-03-10
O71,C5,2024-03-11
O72,C3,2024-03-12
O73,C4,2024-03-13
O74,C3,2024-03-14
O75,C3,2024-03-15
O76,C1,2024-03-16
O77,C3,2024-03-17
O78,C4,2024-03-18
O79,C3,2024-03-19
O80,C1,2024-03-20
O81,C4,2024-03-21
O82,C3,2024-03-22
O83,C2,2024-03-23
O84,C1,2024-03-24
O85,C4,2024-03-25
O86,C2,2024-03-26
O87,C1,2024-03-27
O88,C4,2024-03-28
O89,C4,2024-03-29
O90,C3,2024-03-30
O91,C1,2024-03-31
O92,C5,2024-04-01
O93,C1,2024-04-02
O94,C2,2024-04-03
O95,C5,2024-04-04
O96,C3,2024-04-05
O97,C3,2024-04-06
O98,C4,2024-04-07
O99,C2,2024-04-08
O100,C3,2024-04-09
