shipment_id,order_id,status,shipped_at,delivered_at
S1,O1,shipped,2024-01-02,2024-01-09
S2,O2,delivered,2024-01-03,2024-01-10
S3,O3,shipped,2024-01-04,2024-01-06
S4,O4,shipped,2024-01-05,2024-01-09
S5,O5,delivered,2024-01-06,2024-01-12
S6,O6,shipped,2024-01-07,2024-01-11
S7,O7,delivered,2024-01-08,2024-01-10
S8,O8,delivered,2024-01-09,2024-01-11
S9,O9,shipped,2024-01-10,2024-01-16
S10,O10,shipped,2024-01-11,2024-01-17
S11,O11,shipped,2024-01-12,2024-01-17
S12,O12,delivered,2024-01-13,2024-01-14
S13,O13,delivered,2024-01-14,2024-01-19
S14,O14,shipped,2024-01-15,2024-01-17
S15,O15,shipped,2024-01-16,2024-01-23
S16,O16,delivered,2024-01-17,2024-01-21
S17,O17,delivered,2024-01-18,2024-01-20
S18,O18,delivered,2024-01-19,2024-01-23
S19,O19,delivered,2024-01-20,2024-01-23
S20,O20,delivered,2024-01-21,2024-01-25
S21,O21,delivered,2024-01-22,2024-01-28
S22,O22,shipped,2024-01-23,2024-01-24
S23,O23,shipped,2024-01-24,2024-01-28
S24,O24,delivered,2024-01-25,2024-01-27
S25,O25,shipped,2024-01-26,2024-01-28
S26,O26,delivered,2024-01-27,2024-02-03
S27,O27,delivered,2024-01-28,2024-01-31
S28,O28,shipped,2024-01-29,2024-02-05
S29,O29,shipped,2024-01-30,2024-02-04
S30,O30,shipped,2024-01-31,2024-02-02
S31,O31,delivered,2024-02-01,2024-02-05
S32,O32,delivered,2024-02-02,2024-02-06
S33,O33,delivered,2024-02-03,2024-02-04
S34,O34,delivered,2024-02-04,2024-02-07
S35,O35,shipped,2024-02-05,2024-02-11
S36,O36,delivered,2024-02-06,2024-02-09
S37,O37,delivered,2024-02-07,2024-02-10
S38,O38,delivered,2024-02-08,2024-02-09
S39,O39,delivered,2024-02-09,2024-02-14
S40,O40,delivered,2024-02-10,2024-02-12
S41,O41,shipped,2024-02-11,2024-02-12
S42,O42,delivered,2024-02-12,2024-02-19
S43,O43,shipped,2024-02-13,2024-02-19
S44,O44,shipped,2024-02-14,2024-02-18
S45,O45,delivered,2024-02-15,2024-02-21
S46,O46,shipped,2024-02-16,2024-02-20
S47,O47,shipped,2024-02-17,2024-02-18
S48,O48,delivered,2024-02-18,2024-02-22
S49,O49,delivered,2024-02-19,2024-02-24
S50,O50,delivered,2024-02-20,2024-02-22
S51,O51,shipped,2024-02-21,2024-02-24
S52,O52,delivered,2024-02-22,2024-02-28
S53,O53,shipped,2024-02-23,2024-02-28
S54,O54,delivered,2024-02-24,2024-02-26
S55,O55,shipped,2024-02-25,2024-02-26
S56,O56,shipped,2024-02-26,2024-03-04
S57,O57,delivered,2024-02-27,2024-03-02
S58,O58,shipped,2024-02-28,2024-03-06
S59,O59,delivered,2024-02-29,2024-03-06
S60,O60,delivered,2024-03-01,2024-03-05
S61,O61,shipped,2024-03-02,2024-03-07
S62,O62,shipped,2024-03-03,2024-03-08
S63,O63,delivered,2024-03-04,2024-03-10
S64,O64,delivered,2024-03-05,2024-03-12
S65,O65,shipped,2024-03-06,2024-03-13
S66,O66,shipped,2024-03-07,2024-03-09
S67,O67,delivered,2024-03-08,2024-03-13
S68,O68,delivered,2024-03-09,2024-03-10
S69,O69,delivered,2024-03-10,2024-03-12
S70,O70,shipped,2024-03-11,2024-03-18
S71,O71,delivered,2024-03-12,2024-03-16
S72,O72,shipped,2024-03-13,2024-03-19
S73,O73,delivered,2024-03-14,2024-03-17
S74,O74,delivered,2024-03-15,2024-03-19
S75,O75,delivered,2024-03-16,2024-03-22
S76,O76,shipped,2024-03-17,2024-03-21
S77,O77,delivered,2024-03-18,2024-03-24
S78,O78,delivered,2024-03-19,2024-03-25
S79,O79,shipped,2024-03-20,2024-03-25
S80,O80,shipped,2024-03-21,2024-03-24
S81,O81,delivered,2024-03-22,2024-03-23
S82,O82,delivered,2024-03-23,2024-03-28
S83,O83,delivered,2024-03-24,2024-03-29
S84,O84,shipped,2024-03-25,2024-04-01
S85,O85,shipped,2024-03-26,2024-03-27
S86,O86,shipped,2024-03-27,2024-03-29
S87,O87,delivered,2024-03-28,2024-03-30
S88,O88,delivered,2024-03-29,2024-04-03
S89,O89,delivered,2024-03-30,2024-04-02
S90,O90,shipped,2024-03-31,2024-04-04
S91,O91,delivered,2024-04-01,2024-04-03
S92,O92,shipped,2024-04-02,2024-04-06
S93,O93,delivered,2024-04-03,2024-04-10
S94,O94,shipped,2024-04-04,2024-04-06
S95,O95,delivered,2024-04-05,2024-04-07
S96,O96,shipped,2024-04-06,2024-04-07
S97,O97,shipped,2024-04-07,2024-04-14
S98,O98,shipped,2024-04-08,2024-04-14
S99,O99,shipped,2024-04-09,2024-04-14
S100,O100,shipped,2024-04-10,2024-04-13
